wavelength (nm),irradiance (W/m^2/nm),
39.5,7.14E-06,
40.5,9.36E-06,
41.5,9.88E-06,
42.5,6.62E-06,
43.5,1.25E-05,
44.5,8.56E-06,
45.5,8.24E-06,
46.5,2.05E-05,
47.5,1.02E-05,
48.5,1.58E-05,
49.5,2.53E-05,
50.5,2.50E-05,
51.5,1.03E-05,
52.5,1.22E-05,
53.5,9.49E-06,
54.5,6.27E-06,
55.5,3.02E-05,
56.5,7.72E-06,
57.5,7.07E-06,
58.5,6.31E-05,
59.5,9.52E-06,
60.5,2.40E-05,
61.5,1.97E-05,
62.5,4.72E-05,
63.5,3.59E-05,
64.5,5.16E-06,
65.5,4.71E-06,
66.5,5.17E-06,
67.5,4.16E-06,
68.5,8.28E-06,
69.5,6.53E-06,
70.5,1.36E-05,
71.5,5.55E-06,
72.5,5.88E-06,
73.5,3.82E-06,
74.5,5.25E-06,
75.5,7.21E-06,
76.5,1.78E-05,
77.5,1.62E-05,
78.5,2.31E-05,
79.5,1.64E-05,
80.5,1.32E-05,
81.5,1.40E-05,
82.5,1.72E-05,
83.5,3.94E-05,
84.5,2.45E-05,
85.5,2.95E-05,
86.5,3.49E-05,
87.5,4.17E-05,
88.5,4.93E-05,
89.5,5.70E-05,
90.5,6.94E-05,
91.5,5.94E-05,
92.5,2.00E-05,
93.5,2.05E-05,
94.5,1.52E-05,
95.5,1.22E-05,
96.5,8.90E-06,
97.5,1.61E-04,
98.5,1.83E-05,
99.5,2.68E-05,
100.5,1.31E-05,
101.5,1.59E-05,
102.5,1.38E-04,
103.5,1.23E-04,
104.5,2.06E-05,
105.5,1.80E-05,
106.5,1.91E-05,
107.5,2.17E-05,
108.5,3.38E-05,
109.5,2.39E-05,
110.5,2.74E-05,
111.5,2.58E-05,
112.5,2.64E-05,
113.5,1.82E-05,
114.5,2.12E-05,
115.5,2.25E-05,
116.5,2.65E-05,
117.5,9.46E-05,
118.5,3.59E-05,
119.5,6.13E-05,
120.5,1.93E-04,
121.5,0.008198185,
122.5,7.61E-05,
123.5,4.87E-05,
124.5,3.58E-05,
125.5,3.17E-05,
126.5,4.48E-05,
127.5,2.26E-05,
128.5,1.81E-05,
129.5,2.13E-05,
130.5,1.78E-04,
131.5,2.82E-05,
132.5,2.29E-05,
133.5,2.33E-04,
134.5,2.15E-05,
135.5,4.75E-05,
136.5,3.01E-05,
137.5,3.24E-05,
138.5,3.17E-05,
139.5,9.38E-05,
140.5,7.74E-05,
141.5,4.48E-05,
142.5,4.81E-05,
143.5,5.50E-05,
144.5,5.36E-05,
145.5,5.76E-05,
146.5,7.04E-05,
147.5,8.60E-05,
148.5,8.86E-05,
149.5,8.01E-05,
150.5,8.93E-05,
151.5,9.72E-05,
152.5,1.21E-04,
153.5,1.35E-04,
154.5,2.34E-04,
155.5,2.04E-04,
156.5,1.99E-04,
157.5,1.74E-04,
158.5,1.73E-04,
159.5,1.69E-04,
160.5,1.89E-04,
161.5,2.23E-04,
162.5,2.57E-04,
163.5,2.77E-04,
164.5,3.24E-04,
165.5,5.11E-04,
166.5,3.42E-04,
167.5,4.14E-04,
168.5,4.46E-04,
169.5,5.88E-04,
170.5,6.80E-04,
171.5,6.87E-04,
172.5,7.52E-04,
173.5,7.58E-04,
174.5,9.29E-04,
175.5,0.001137635,
176.5,0.001233686,
177.5,0.001507267,
178.5,0.001676789,
179.5,0.001666683,
180.5,0.002061608,
181.5,0.002464846,
182.5,0.002341879,
183.5,0.002516121,
184.5,0.002190891,
185.5,0.002500033,
186.5,0.002898246,
187.5,0.003256211,
188.5,0.003504948,
189.5,0.003860494,
190.5,0.004072362,
191.5,0.004340226,
192.5,0.004657444,
193.5,0.003608417,
194.5,0.005922604,
195.5,0.005764763,
196.5,0.006489675,
197.5,0.006580024,
198.5,0.006611691,
199.5,0.00720253,
200.5,0.007840301,
201.5,0.008731024,
202.5,0.008629734,
203.5,0.009977901,
204.5,0.01106127,
205.5,0.0113583,
206.5,0.01176927,
207.5,0.0135574,
208.5,0.01547593,
209.5,0.02222325,
210.5,0.02897516,
211.5,0.03484759,
212.5,0.03328132,
213.5,0.0301224,
214.5,0.04278332,
215.5,0.03497504,
216.5,0.03372622,
217.5,0.03243521,
218.5,0.04637528,
219.5,0.04860029,
220.5,0.04796847,
221.5,0.03410921,
222.5,0.05029647,
223.5,0.06382447,
224.5,0.05854512,
225.5,0.05188514,
226.5,0.03635068,
227.5,0.03691253,
228.5,0.05283643,
229.5,0.04477074,
230.5,0.05465518,
231.5,0.0471995,
232.5,0.05076341,
233.5,0.04269385,
234.5,0.03464881,
235.5,0.05553777,
236.5,0.04294133,
237.5,0.05189187,
238.5,0.03577444,
239.5,0.04404834,
240.5,0.04045051,
241.5,0.04728998,
242.5,0.07064663,
243.5,0.06411929,
244.5,0.06123813,
245.5,0.0483252,
246.5,0.04829823,
247.5,0.05571229,
248.5,0.04316391,
249.5,0.05503669,
250.5,0.05795013,
251.5,0.04482989,
252.5,0.039597,
253.5,0.05080686,
254.5,0.05649043,
255.5,0.08015453,
256.5,0.09601868,
257.5,0.1192849,
258.5,0.1267217,
259.5,0.1057938,
260.5,0.08619446,
261.5,0.08430545,
262.5,0.1065583,
263.5,0.1555582,
264.5,0.242153,
265.5,0.2522693,
266.5,0.2445993,
267.5,0.2445976,
268.5,0.2439054,
269.5,0.2171328,
270.5,0.273223,
271.5,0.2270165,
272.5,0.1808147,
273.5,0.2057189,
274.5,0.1212924,
275.5,0.1741545,
276.5,0.2406755,
277.5,0.2392577,
278.5,0.1575808,
279.5,0.07625737,
280.5,0.08803458,
281.5,0.2037091,
282.5,0.282915,
283.5,0.3133206,
284.5,0.2397357,
285.5,0.1225705,
286.5,0.323969,
287.5,0.3530444,
288.5,0.2919897,
289.5,0.4339966,
290.5,0.5798218,
291.5,0.5378348,
292.5,0.4678576,
293.5,0.5295992,
294.5,0.4768703,
295.5,0.5333265,
296.5,0.4728291,
297.5,0.5059879,
298.5,0.3737858,
299.5,0.5199137,
300.5,0.343984,
301.5,0.4677,
302.5,0.4580727,
303.5,0.5981574,
304.5,0.5644625,
305.5,0.5896032,
306.5,0.5364635,
307.5,0.618451,
308.5,0.6229032,
309.5,0.4712527,
310.25,0.5755738,
310.48,0.6272224,
310.71,0.671715,
310.95,0.7015456,
311.18,0.7181205,
311.42,0.7235097,
311.65,0.7134049,
311.89,0.6934455,
312.12,0.6774029,
312.36,0.6672212,
312.6,0.664672,
312.84,0.6713282,
313.08,0.6838759,
313.32,0.6893483,
313.56,0.6913463,
313.8,0.6920429,
314.04,0.6895088,
314.28,0.6845089,
314.53,0.6745728,
314.77,0.6656376,
315.02,0.6542236,
315.26,0.6412374,
315.51,0.6250752,
315.75,0.6140772,
316,0.6146635,
316.25,0.6270659,
316.5,0.6535874,
316.75,0.6842457,
317,0.7114355,
317.25,0.7292808,
317.5,0.7371064,
317.75,0.7305648,
318.01,0.7099948,
318.26,0.6881575,
318.51,0.6777219,
318.77,0.6760026,
319.02,0.6834415,
319.28,0.697679,
319.54,0.7220845,
319.8,0.7466056,
320.06,0.7606943,
320.32,0.7658839,
320.58,0.7643106,
320.84,0.7578301,
321.1,0.7433258,
321.36,0.7260585,
321.62,0.7122062,
321.89,0.702284,
322.15,0.6942474,
322.42,0.6828334,
322.69,0.6738667,
322.95,0.6700683,
323.22,0.6739128,
323.49,0.6826251,
323.76,0.6968389,
324.03,0.7172053,
324.3,0.7448827,
324.57,0.7740777,
324.85,0.8042759,
325.12,0.8341381,
325.39,0.8690975,
325.67,0.9059953,
325.94,0.9350766,
326.22,0.9570714,
326.5,0.9709175,
326.78,0.9768367,
327.06,0.9746425,
327.34,0.9619154,
327.62,0.9500472,
327.9,0.9439226,
328.18,0.9442716,
328.47,0.9539827,
328.75,0.9695236,
329.04,0.9950806,
329.32,1.017344,
329.61,1.036025,
329.9,1.044471,
330.19,1.040106,
330.48,1.027288,
330.77,1.011789,
331.06,0.9942345,
331.35,0.9812331,
331.64,0.9724388,
331.94,0.9680265,
332.23,0.9630844,
332.53,0.9558656,
332.83,0.9490878,
333.12,0.9452207,
333.42,0.9417322,
333.72,0.9402939,
334.02,0.9486185,
334.32,0.9605803,
334.63,0.9606782,
334.93,0.9549775,
335.23,0.9497361,
335.54,0.9326852,
335.85,0.900887,
336.15,0.8727317,
336.46,0.8581938,
336.77,0.8515645,
337.08,0.8474122,
337.39,0.858522,
337.71,0.8818069,
338.02,0.9006037,
338.33,0.9156177,
338.65,0.9406146,
338.96,0.9640627,
339.28,0.9777286,
339.6,0.9886997,
339.92,1.002103,
340.24,1.00501,
340.56,1.000147,
340.88,0.9920971,
341.21,0.9857258,
341.53,0.9833738,
341.86,0.9867285,
342.18,0.994653,
342.51,0.9945181,
342.84,0.9846976,
343.17,0.9678092,
343.5,0.9462698,
343.83,0.9195676,
344.17,0.8968301,
344.5,0.8868043,
344.84,0.892683,
345.17,0.9059826,
345.51,0.921787,
345.85,0.9344411,
346.19,0.9425734,
346.53,0.9488268,
346.88,0.9474679,
347.22,0.9426452,
347.56,0.9332491,
347.91,0.9276763,
348.26,0.9261677,
348.6,0.9282749,
348.95,0.9350399,
349.3,0.9483984,
349.66,0.9687223,
350.01,0.9894692,
350.36,1.013398,
350.72,1.021267,
351.08,1.015548,
351.43,1.008812,
351.79,1.003022,
352.15,0.9943154,
352.52,0.9911693,
352.88,1.005343,
353.24,1.033845,
353.61,1.061956,
353.98,1.082919,
354.34,1.101283,
354.71,1.110974,
355.08,1.0986,
355.46,1.069213,
355.83,1.036256,
356.2,0.998229,
356.58,0.9482483,
356.96,0.894631,
357.34,0.8580404,
357.72,0.8389967,
358.1,0.8335256,
358.48,0.8460609,
358.86,0.8785492,
359.25,0.9200411,
359.64,0.9576065,
360.03,0.9782334,
360.42,0.9832025,
360.81,0.9839801,
361.2,0.982223,
361.59,0.9763199,
361.99,0.9779596,
362.39,0.9927398,
362.79,1.012801,
363.19,1.022769,
363.59,1.035673,
363.99,1.058919,
364.39,1.082312,
364.8,1.103449,
365.21,1.134657,
365.62,1.17708,
366.03,1.205175,
366.44,1.217685,
366.85,1.220997,
367.27,1.220775,
367.69,1.214164,
368.1,1.208303,
368.52,1.203672,
368.95,1.2034,
369.37,1.215037,
369.79,1.223864,
370.22,1.217232,
370.65,1.204891,
371.08,1.193755,
371.51,1.170146,
371.94,1.131446,
372.38,1.091952,
372.81,1.054925,
373.25,1.022506,
373.69,0.9960161,
374.13,0.9862144,
374.58,0.9918059,
375.02,1.00828,
375.47,1.044123,
375.92,1.091355,
376.37,1.141987,
376.82,1.186335,
377.28,1.228823,
377.73,1.253667,
378.19,1.260968,
378.65,1.257542,
379.11,1.242654,
379.57,1.22001,
380.04,1.191762,
380.51,1.157847,
380.98,1.109596,
381.45,1.04905,
381.92,0.9827502,
382.39,0.9277966,
382.87,0.8876205,
383.35,0.8651778,
383.83,0.8674772,
384.31,0.8985039,
384.8,0.9373176,
385.28,0.9687281,
385.77,0.9912859,
386.26,1.005433,
386.76,1.014847,
387.25,1.020421,
387.75,1.03254,
388.25,1.053123,
388.75,1.088332,
389.25,1.132938,
389.76,1.177846,
390.26,1.206725,
390.77,1.204475,
391.29,1.173779,
391.8,1.12057,
392.32,1.053355,
392.84,0.9946196,
393.36,0.9637688,
393.88,0.9626742,
394.4,0.9744824,
394.93,0.9948038,
395.46,1.023304,
395.99,1.050102,
396.53,1.079622,
397.07,1.124329,
397.61,1.203863,
398.15,1.30194,
398.69,1.406367,
399.24,1.512228,
399.79,1.607154,
400.34,1.677091,
400.89,1.714119,
401.45,1.738949,
402.01,1.747294,
402.57,1.748846,
403.13,1.742465,
403.7,1.728544,
404.27,1.713869,
404.84,1.69504,
405.41,1.682544,
405.99,1.675327,
406.57,1.68078,
407.15,1.684229,
407.74,1.688115,
408.33,1.697715,
408.92,1.710727,
409.51,1.719243,
410.11,1.723639,
410.7,1.735165,
411.31,1.756399,
411.91,1.770802,
412.52,1.778656,
413.13,1.787328,
413.74,1.799393,
414.36,1.799684,
414.98,1.792656,
415.6,1.786944,
416.22,1.783357,
416.85,1.77458,
417.48,1.760239,
418.11,1.75469,
418.75,1.753643,
419.39,1.751814,
420.04,1.74938,
420.68,1.75106,
421.33,1.755449,
421.98,1.748296,
422.64,1.737922,
423.3,1.731723,
423.96,1.725577,
424.63,1.71351,
425.3,1.701972,
425.97,1.69039,
426.65,1.670332,
427.32,1.63226,
428.01,1.587035,
428.69,1.557064,
429.38,1.527466,
430.08,1.51576,
430.77,1.516982,
431.47,1.552013,
432.18,1.597009,
432.89,1.64305,
433.6,1.69008,
434.31,1.731905,
435.03,1.761059,
435.75,1.775387,
436.48,1.784758,
437.21,1.784207,
437.94,1.782947,
438.68,1.78895,
439.42,1.80277,
440.17,1.82143,
440.92,1.847262,
441.67,1.87992,
442.43,1.904579,
443.19,1.92264,
443.96,1.935929,
444.73,1.94756,
445.5,1.954068,
446.28,1.964584,
447.06,1.987707,
447.85,2.013104,
448.64,2.034633,
449.43,2.049453,
450.23,2.063581,
451.04,2.067,
451.85,2.058614,
452.66,2.04845,
453.48,2.043282,
454.3,2.043064,
455.13,2.043487,
455.96,2.047482,
456.8,2.056057,
457.64,2.063866,
458.48,2.06898,
459.33,2.073734,
460.19,2.078456,
461.05,2.081214,
461.92,2.082837,
462.79,2.077986,
463.66,2.070641,
464.54,2.060184,
465.43,2.049433,
466.32,2.036893,
467.22,2.027372,
468.12,2.025045,
469.03,2.025447,
469.94,2.029467,
470.86,2.036109,
471.78,2.04586,
472.71,2.054784,
473.64,2.063615,
474.58,2.072725,
475.53,2.08138,
476.48,2.087849,
477.44,2.094372,
478.4,2.10022,
479.37,2.102478,
480.34,2.099057,
481.33,2.08039,
482.31,2.053477,
483.31,2.020216,
484.3,1.98535,
485.31,1.954445,
486.32,1.933329,
487.34,1.92636,
488.37,1.933362,
489.4,1.946353,
490.43,1.961825,
491.48,1.976315,
492.53,1.989257,
493.59,1.994504,
494.65,1.996688,
495.72,1.993074,
496.8,1.984452,
497.89,1.975364,
498.98,1.962674,
500.08,1.952565,
501.19,1.945113,
502.3,1.943633,
503.42,1.946524,
504.55,1.952408,
505.69,1.958426,
506.83,1.962593,
507.99,1.961115,
509.14,1.955735,
510.31,1.947043,
511.49,1.926576,
512.67,1.900532,
513.86,1.874794,
515.06,1.851859,
516.27,1.831796,
517.49,1.820028,
518.71,1.82476,
519.94,1.837626,
521.18,1.848964,
522.43,1.862023,
523.69,1.876911,
524.96,1.889494,
526.24,1.894193,
527.52,1.898779,
528.82,1.908981,
530.12,1.91717,
531.44,1.920602,
532.76,1.921377,
534.09,1.92053,
535.43,1.916001,
536.79,1.90718,
538.15,1.898997,
539.52,1.892853,
540.9,1.888941,
542.29,1.887306,
543.69,1.887345,
545.11,1.888571,
546.53,1.888861,
547.96,1.890236,
549.41,1.889225,
550.86,1.885959,
552.33,1.879535,
553.8,1.873271,
555.29,1.866116,
556.79,1.857872,
558.3,1.849824,
559.82,1.845383,
561.36,1.843387,
562.9,1.840814,
564.46,1.839929,
566.03,1.84115,
567.61,1.842591,
569.21,1.843223,
570.81,1.843842,
572.43,1.844821,
574.06,1.845719,
575.71,1.845129,
577.37,1.842707,
579.04,1.839891,
580.72,1.83331,
582.42,1.824377,
584.13,1.814994,
585.86,1.805227,
587.59,1.796146,
589.35,1.78862,
591.11,1.784114,
592.9,1.78074,
594.69,1.777626,
596.5,1.774594,
598.33,1.770748,
600.17,1.764923,
602.03,1.757509,
603.9,1.749466,
605.78,1.739665,
607.69,1.727471,
609.6,1.715852,
611.54,1.704931,
613.49,1.693861,
615.46,1.683637,
617.44,1.676841,
619.44,1.672118,
621.46,1.666436,
623.49,1.660328,
625.54,1.655009,
627.61,1.650149,
629.7,1.643217,
631.81,1.635417,
633.93,1.628628,
636.07,1.621747,
638.23,1.613733,
640.41,1.605279,
642.61,1.597077,
644.82,1.58468,
647.06,1.570946,
649.31,1.55794,
651.59,1.545976,
653.88,1.534714,
656.2,1.526552,
658.53,1.524112,
660.89,1.523987,
663.27,1.523255,
665.66,1.52149,
668.08,1.519545,
670.52,1.514765,
672.99,1.506579,
675.47,1.498267,
677.98,1.489685,
680.5,1.480597,
683.06,1.471338,
685.63,1.462032,
688.23,1.452199,
690.85,1.442116,
693.49,1.43198,
696.16,1.422083,
698.85,1.412307,
701.56,1.402685,
704.3,1.393167,
707.07,1.383153,
709.85,1.373112,
712.67,1.362791,
715.51,1.352281,
718.37,1.342199,
721.26,1.33267,
724.18,1.323399,
727.12,1.31388,
730.09,1.304807,
733.08,1.296211,
736.1,1.287335,
739.15,1.278544,
742.22,1.2705,
745.33,1.263252,
748.46,1.255663,
751.61,1.247588,
754.8,1.239619,
758.01,1.231109,
761.26,1.222085,
764.53,1.212829,
767.83,1.204166,
771.15,1.196105,
774.51,1.187773,
777.9,1.179237,
781.31,1.170714,
784.76,1.16178,
788.23,1.152099,
791.73,1.142081,
795.27,1.132649,
798.83,1.123409,
802.42,1.113566,
806.05,1.104064,
809.7,1.095151,
813.39,1.085852,
817.1,1.076181,
820.85,1.066976,
824.62,1.058469,
828.43,1.04928,
832.26,1.038494,
836.13,1.026937,
840.03,1.015953,
843.96,1.00362,
847.92,0.9904381,
851.91,0.9789225,
855.93,0.9697992,
859.99,0.9620497,
864.07,0.954714,
868.18,0.9492477,
872.33,0.9452995,
876.5,0.9404017,
880.71,0.9344276,
884.94,0.9286402,
889.21,0.9223526,
893.5,0.9149815,
897.83,0.9068259,
902.19,0.8982036,
906.57,0.8898535,
910.99,0.8818165,
915.43,0.8736237,
919.91,0.8650196,
924.41,0.8569144,
928.94,0.8490055,
933.5,0.8406407,
938.09,0.8318774,
942.7,0.8241643,
947.35,0.817321,
952.74,0.8075207,
957.41,0.8003133,
962.11,0.794283,
966.83,0.7887712,
971.58,0.7828557,
976.35,0.7762973,
981.15,0.7688373,
985.98,0.7612841,
990.82,0.7535508,
995.7,0.7456046,
1000.59,0.7380353,
1005.51,0.730994,
1010.45,0.7245609,
1015.42,0.7177348,
1020.41,0.7111457,
1025.41,0.7047606,
1030.44,0.6981226,
1035.49,0.6911299,
1040.57,0.6838995,
1045.66,0.6766182,
1050.77,0.66905,
1055.9,0.6608048,
1061.04,0.6523258,
1066.21,0.6437122,
1071.39,0.6352201,
1076.59,0.6273595,
1081.81,0.6201711,
1087.04,0.613933,
1092.29,0.6083379,
1097.55,0.6030174,
1102.83,0.5980876,
1108.13,0.5929232,
1113.43,0.5874879,
1118.75,0.5819085,
1124.09,0.5761237,
1129.43,0.5702493,
1134.79,0.564379,
1140.16,0.5586003,
1145.53,0.5529178,
1150.92,0.5469127,
1156.32,0.5408301,
1161.73,0.5349031,
1167.15,0.5289371,
1172.57,0.5228155,
1178.01,0.5170094,
1183.45,0.5115162,
1188.9,0.506453,
1194.35,0.5016059,
1199.82,0.497051,
1205.28,0.493021,
1210.76,0.4890551,
1216.23,0.4851171,
1221.72,0.4810273,
1227.2,0.4768514,
1232.69,0.4724261,
1238.19,0.4678645,
1243.68,0.4632612,
1249.18,0.4582826,
1254.68,0.4531075,
1260.19,0.4481308,
1265.69,0.4433191,
1271.2,0.4387102,
1276.7,0.4344287,
1282.21,0.4305915,
1287.72,0.4272543,
1293.22,0.4238107,
1298.73,0.4203896,
1304.24,0.4168724,
1309.74,0.4133722,
1315.24,0.4098269,
1320.74,0.4063045,
1326.24,0.4028045,
1331.74,0.3993259,
1337.23,0.3958967,
1342.72,0.3922858,
1348.21,0.3886269,
1353.69,0.385023,
1359.17,0.3814039,
1364.64,0.3779175,
1370.12,0.3745713,
1375.58,0.3713526,
1381.04,0.368052,
1386.5,0.3647199,
1391.95,0.3613052,
1397.4,0.3577991,
1402.84,0.3542614,
1408.28,0.3507231,
1413.71,0.3472609,
1419.13,0.3438939,
1424.55,0.3405727,
1429.96,0.3374539,
1435.36,0.3344837,
1440.76,0.3316392,
1446.15,0.3290124,
1451.54,0.3263691,
1456.91,0.3236104,
1462.28,0.3208772,
1467.64,0.3179819,
1473,0.3147391,
1478.34,0.3115274,
1483.68,0.3085759,
1489.01,0.3058511,
1494.33,0.3033944,
1499.65,0.3012203,
1504.95,0.2995298,
1510.25,0.2979255,
1515.54,0.2961494,
1520.82,0.2943399,
1526.09,0.2923245,
1531.36,0.289843,
1536.61,0.2870852,
1541.86,0.2840782,
1547.09,0.2806628,
1552.32,0.2771104,
1557.54,0.2733583,
1562.75,0.2697417,
1567.95,0.2663936,
1573.14,0.2635109,
1578.32,0.2611538,
1583.49,0.2590213,
1588.65,0.2570673,
1593.8,0.2554297,
1598.95,0.2537608,
1601.18,0.2513805,
1616.86,0.2460157,
1632.42,0.2397419,
1647.91,0.2342218,
1663.31,0.2272525,
1678.61,0.2212111,
1693.82,0.21557,
1708.93,0.2080002,
1723.95,0.2004778,
1738.86,0.195165,
1753.69,0.190149,
1768.43,0.1848426,
1783.07,0.1784832,
1797.62,0.1728555,
1812.08,0.1687745,
1826.44,0.1641081,
1840.72,0.1601401,
1854.9,0.1553334,
1869,0.1495685,
1883,0.148171,
1896.92,0.1454702,
1910.75,0.1416933,
1924.48,0.1358095,
1938.13,0.132162,
1951.71,0.1301903,
1965.19,0.1273233,
1978.59,0.1245665,
1991.92,0.1220119,
2005.15,0.120035,
2018.31,0.1175278,
2031.38,0.11481,
2044.38,0.1124839,
2057.3,0.1091877,
2070.13,0.1073301,
2082.89,0.1050277,
2095.58,0.1012496,
2108.19,0.09925998,
2120.73,0.09752781,
2133.2,0.09627846,
2145.59,0.09243464,
2157.91,0.0909324,
2170.15,0.09028316,
2182.34,0.0887922,
2194.44,0.08606865,
2206.48,0.08552259,
2218.45,0.08409761,
2230.36,0.08231955,
2242.2,0.08023685,
2253.97,0.07819523,
2265.68,0.07684957,
2277.33,0.07541571,
2288.91,0.07399588,
2300.43,0.07302453,
2311.89,0.07135015,
2323.28,0.06964489,
2334.63,0.06773136,
2345.9,0.06698233,
2357.11,0.06606159,
2368.28,0.06297373,