time (seconds since 1970-01-01),wavelength (nm),irradiance (W/m^2/nm)
1.054123713609375E9,0.05,4.828653032973307E-10
1.054123713609375E9,0.15,3.8003268088004916E-8
1.054123713609375E9,0.25,2.887474295221182E-7
1.054123713609375E9,0.35,1.000659040073515E-6
1.054123713609375E9,0.45,2.663488885445986E-6
1.054123713609375E9,0.55,9.00260238267947E-6
1.054123713609375E9,0.65,1.4168460438668262E-5
1.054123713609375E9,0.75,1.3636327821586747E-5
1.054123713609375E9,0.85,2.2580910808756016E-5
1.054123713609375E9,0.95,3.179186751367524E-5
1.054123713609375E9,1.05,4.237619577907026E-5
1.054123713609375E9,1.15,5.658018926624209E-5
1.054123713609375E9,1.25,8.106064342427999E-5
1.054123713609375E9,1.35,1.1696467117872089E-4
1.054123713609375E9,1.45,1.821233454393223E-4
1.054123713609375E9,1.55,2.255483705084771E-4
1.054123713609375E9,1.65,2.3638659331481904E-4
1.054123713609375E9,1.75,1.9870043615810573E-4
1.054123713609375E9,1.85,1.3436286826618016E-4
1.054123713609375E9,1.95,6.967289664316922E-5
1.054123713609375E9,2.05,1.1428120342316106E-4
1.054123713609375E9,2.15,1.0350952652515844E-4
1.054123713609375E9,2.25,1.0258161637466401E-4
1.054123713609375E9,2.35,2.271787525387481E-5
1.054123713609375E9,2.45,2.120555109286215E-5
1.054123713609375E9,2.55,2.279804539284669E-5
1.054123713609375E9,2.65,1.330622035311535E-5
1.054123713609375E9,2.75,2.178639442718122E-5
1.054123713609375E9,2.85,2.391329689999111E-5
1.054123713609375E9,2.95,2.4435914383502677E-5
1.054123713609375E9,3.05,1.689964483375661E-5
1.054123713609375E9,3.15,1.5991054169717245E-5
1.054123713609375E9,3.25,4.019084371975623E-5
1.054123713609375E9,3.35,4.14732021454256E-5
1.054123713609375E9,3.45,4.0517672459827736E-5
1.054123713609375E9,3.55,1.8685965187614784E-5
1.054123713609375E9,3.65,1.6395726561313495E-5
1.054123713609375E9,3.75,1.3355560440686531E-5
1.054123713609375E9,3.85,1.4186437510943506E-5
1.054123713609375E9,3.95,6.148889951873571E-5
1.054123713609375E9,4.05,6.288697477430105E-5
1.054123713609375E9,4.15,6.518723967019469E-5
1.054123713609375E9,4.25,2.7568619771045633E-5
1.054123713609375E9,4.35,4.125775376451202E-5
1.054123713609375E9,4.45,3.98627707909327E-5
1.054123713609375E9,4.55,4.7765370254637673E-5
1.054123713609375E9,4.65,4.299620195524767E-5
1.054123713609375E9,4.75,4.124191400478594E-5
1.054123713609375E9,4.85,3.2271123927785084E-5
1.054123713609375E9,4.95,5.30860161234159E-5
1.054123713609375E9,5.05,4.954533142154105E-5
1.054123713609375E9,5.15,5.2670402510557324E-5
1.054123713609375E9,5.25,2.3792343199602328E-5
1.054123713609375E9,5.35,3.478171493043192E-5
1.054123713609375E9,5.45,4.809447273146361E-5
1.054123713609375E9,5.55,5.584430618910119E-5
1.054123713609375E9,5.65,5.765230525867082E-5
1.054123713609375E9,5.75,3.097020817222074E-5
1.054123713609375E9,5.85,2.5451567125855945E-5
1.054123713609375E9,5.95,1.902478288684506E-5
1.054123713609375E9,6.05,3.589579864637926E-5
1.054123713609375E9,6.15,4.546421769191511E-5
1.054123713609375E9,6.25,6.367862079059705E-5
1.054123713609375E9,6.35,5.257331213215366E-5
1.054123713609375E9,6.45,4.5535063691204414E-5
1.054123713609375E9,6.55,3.307020597276278E-5
1.054123713609375E9,6.65,3.9601276512257755E-5
1.054123713609375E9,6.75,3.638067937572487E-5
1.054123713609375E9,6.85,4.780132803716697E-5
1.054123713609375E9,6.95,4.8655536375008523E-5
1.054123713609375E9,7.05,6.988876702962443E-5
1.054123713609375E9,7.15,8.921487460611388E-5
1.054123713609375E9,7.25,8.771801367402077E-5
1.054123713609375E9,7.35,7.534317410318181E-5
1.054123713609375E9,7.45,7.135386113077402E-5
1.054123713609375E9,7.55,9.062265598913655E-5
1.054123713609375E9,7.65,8.829764556139708E-5
1.054123713609375E9,7.75,6.560518522746861E-5
1.054123713609375E9,7.85,5.837888966198079E-5
1.054123713609375E9,7.95,5.786360998172313E-5
1.054123713609375E9,8.05,6.079747254261747E-5
1.054123713609375E9,8.15,7.313446985790506E-5
1.054123713609375E9,8.25,8.858094952302054E-5
1.054123713609375E9,8.35,8.70879230205901E-5
1.054123713609375E9,8.45,7.43044656701386E-5
1.054123713609375E9,8.55,6.20234859525226E-5
1.054123713609375E9,8.65,5.4292406275635585E-5
1.054123713609375E9,8.75,5.266717926133424E-5
1.054123713609375E9,8.85,5.386277553043328E-5
1.054123713609375E9,8.95,5.519624028238468E-5
1.054123713609375E9,9.05,5.4415006161434576E-5
1.054123713609375E9,9.15,5.587091436609626E-5
1.054123713609375E9,9.25,5.816555494675413E-5
1.054123713609375E9,9.35,6.192466389620677E-5
1.054123713609375E9,9.45,5.6528515415266156E-5
1.054123713609375E9,9.55,5.222122490522452E-5
1.054123713609375E9,9.65,5.461644468596205E-5
1.054123713609375E9,9.75,5.060471085016616E-5
1.054123713609375E9,9.85,4.3768275645561516E-5
1.054123713609375E9,9.95,4.162975164945237E-5
1.054123713609375E9,10.05,4.212049680063501E-5
1.054123713609375E9,10.15,4.6686967834830284E-5
1.054123713609375E9,10.25,5.02033690281678E-5
1.054123713609375E9,10.35,5.437762592919171E-5
1.054123713609375E9,10.45,4.9036134441848844E-5
1.054123713609375E9,10.55,3.1898649467621E-5
1.054123713609375E9,10.65,2.590511940070428E-5
1.054123713609375E9,10.75,2.4667595425853506E-5
1.054123713609375E9,10.85,2.6684958356781863E-5
1.054123713609375E9,10.95,2.4016015231609344E-5
1.054123713609375E9,11.05,2.4534592739655636E-5
1.054123713609375E9,11.15,2.7206548111280426E-5
1.054123713609375E9,11.25,2.823022623488214E-5
1.054123713609375E9,11.35,2.6216339392703958E-5
1.054123713609375E9,11.45,2.6734678613138385E-5
1.054123713609375E9,11.55,2.6872492526308633E-5
1.054123713609375E9,11.65,2.996505645569414E-5
1.054123713609375E9,11.75,2.726927777985111E-5
1.054123713609375E9,11.85,1.9656590666272677E-5
1.054123713609375E9,11.95,1.6616024367976934E-5
1.054123713609375E9,12.05,1.7076479707611725E-5
1.054123713609375E9,12.15,1.847938801802229E-5
1.054123713609375E9,12.25,1.7752241546986625E-5
1.054123713609375E9,12.35,1.6642947230138816E-5
1.054123713609375E9,12.45,1.375429656036431E-5
1.054123713609375E9,12.55,9.799964573176112E-6
1.054123713609375E9,12.65,9.90484932117397E-6
1.054123713609375E9,12.75,1.1231747521378566E-5
1.054123713609375E9,12.85,1.4006659512233455E-5
1.054123713609375E9,12.95,1.6335430700564757E-5
1.054123713609375E9,13.05,2.1328531147446483E-5
1.054123713609375E9,13.15,2.0082567061763257E-5
1.054123713609375E9,13.25,1.847029125201516E-5
1.054123713609375E9,13.35,1.5190410522336606E-5
1.054123713609375E9,13.45,1.3279043741931673E-5
1.054123713609375E9,13.55,1.2300751222937834E-5
1.054123713609375E9,13.65,1.1563965927052777E-5
1.054123713609375E9,13.75,1.2721213352051564E-5
1.054123713609375E9,13.85,1.2681323823926505E-5
1.054123713609375E9,13.95,1.4333145372802392E-5
1.054123713609375E9,14.05,1.8490325601305813E-5
1.054123713609375E9,14.15,1.7336884411633946E-5
1.054123713609375E9,14.25,1.3456337910611182E-5
1.054123713609375E9,14.35,1.8944107068818994E-5
1.054123713609375E9,14.45,2.6351213818998076E-5
1.054123713609375E9,14.55,2.7122023311676458E-5
1.054123713609375E9,14.65,2.5407789507880807E-5
1.054123713609375E9,14.75,5.0734332035062835E-5
1.054123713609375E9,14.85,5.879814125364646E-5
1.054123713609375E9,14.95,5.026521102990955E-5
1.054123713609375E9,15.05,2.9743367122136988E-5
1.054123713609375E9,15.15,4.540597728919238E-5
1.054123713609375E9,15.25,4.4414693547878414E-5
1.054123713609375E9,15.35,3.614132583606988E-5
1.054123713609375E9,15.45,2.7250360290054232E-5
1.054123713609375E9,15.55,1.794025956769474E-5
1.054123713609375E9,15.65,1.8884667952079326E-5
1.054123713609375E9,15.75,3.368937541381456E-5
1.054123713609375E9,15.85,3.3775831980165094E-5
1.054123713609375E9,15.95,2.4020524506340735E-5
1.054123713609375E9,16.05,2.247721204184927E-5
1.054123713609375E9,16.15,2.1815780200995505E-5
1.054123713609375E9,16.25,1.7329595721093938E-5
1.054123713609375E9,16.35,2.6018904463853687E-5
1.054123713609375E9,16.45,3.0101951779215597E-5
1.054123713609375E9,16.55,2.3818538466002792E-5
1.054123713609375E9,16.65,3.9582526369486004E-5
1.054123713609375E9,16.75,7.772268872940913E-5
1.054123713609375E9,16.85,1.0021999332820997E-4
1.054123713609375E9,16.95,3.153462312184274E-4
1.054123713609375E9,17.05,5.09801204316318E-4
1.054123713609375E9,17.15,5.038102390244603E-4
1.054123713609375E9,17.25,2.844743139576167E-4
1.054123713609375E9,17.35,3.458369756117463E-4
1.054123713609375E9,17.45,3.8226525066420436E-4
1.054123713609375E9,17.55,4.244105366524309E-4
1.054123713609375E9,17.65,2.850967866834253E-4
1.054123713609375E9,17.75,2.4674442829564214E-4
1.054123713609375E9,17.85,2.0886307174805552E-4
1.054123713609375E9,17.95,2.729150583036244E-4
1.054123713609375E9,18.05,3.2518181251361966E-4
1.054123713609375E9,18.15,2.787213306874037E-4
1.054123713609375E9,18.25,9.032040543388575E-5
1.054123713609375E9,18.35,1.3579853111878037E-4
1.054123713609375E9,18.45,1.4210976951289922E-4
1.054123713609375E9,18.55,1.574316411279142E-4
1.054123713609375E9,18.65,1.4962168643251061E-4
1.054123713609375E9,18.75,2.9934151098132133E-4
1.054123713609375E9,18.85,2.7342085377313197E-4
1.054123713609375E9,18.95,2.0892152679152787E-4
1.054123713609375E9,19.05,9.780660184333101E-5
1.054123713609375E9,19.15,1.4471886970568448E-4
1.054123713609375E9,19.25,2.5347271002829075E-4
1.054123713609375E9,19.35,2.9024318791925907E-4
1.054123713609375E9,19.45,3.676984051708132E-4
1.054123713609375E9,19.55,2.7234232402406633E-4
1.054123713609375E9,19.65,1.393063721479848E-4
1.054123713609375E9,19.75,7.572848699055612E-5
1.054123713609375E9,19.85,5.520663398783654E-5
1.054123713609375E9,19.95,6.384294101735577E-5
1.054123713609375E9,20.05,1.1692575935740024E-4
1.054123713609375E9,20.15,2.5200899108313024E-4
1.054123713609375E9,20.25,2.536350511945784E-4
1.054123713609375E9,20.35,1.8875776731874794E-4
1.054123713609375E9,20.45,1.4589291822630912E-4
1.054123713609375E9,20.55,6.0974845837336034E-5
1.054123713609375E9,20.65,5.311710629030131E-5
1.054123713609375E9,20.75,6.170361302793026E-5
1.054123713609375E9,20.85,7.673562504351139E-5
1.054123713609375E9,20.95,9.523785411147401E-5
1.054123713609375E9,21.05,2.150239160982892E-4
1.054123713609375E9,21.15,2.0840061188209802E-4
1.054123713609375E9,21.25,1.1568798072403297E-4
1.054123713609375E9,21.35,5.17594235134311E-5
1.054123713609375E9,21.45,5.6804827181622386E-5
1.054123713609375E9,21.55,5.7447366998530924E-5
1.054123713609375E9,21.65,7.621209806529805E-5
1.054123713609375E9,21.75,9.250704169971868E-5
1.054123713609375E9,21.85,1.1187239579157904E-4
1.054123713609375E9,21.95,1.446146343369037E-4
1.054123713609375E9,22.05,1.2744432024192065E-4
1.054123713609375E9,22.15,9.951966057997197E-5
1.054123713609375E9,22.25,9.095779387280345E-5
1.054123713609375E9,22.35,1.0134107287740335E-4
1.054123713609375E9,22.45,1.3027037493884563E-4
1.054123713609375E9,22.55,1.4780575293116271E-4
1.054123713609375E9,22.65,1.4879349328111857E-4
1.054123713609375E9,22.75,1.3969268184155226E-4
1.054123713609375E9,22.85,9.556464647175744E-5
1.054123713609375E9,22.95,6.429619679693133E-5
1.054123713609375E9,23.05,5.384633914218284E-5
1.054123713609375E9,23.15,5.3843159548705444E-5
1.054123713609375E9,23.25,6.196496542543173E-5
1.054123713609375E9,23.35,8.963300206232816E-5
1.054123713609375E9,23.45,8.753734437050298E-5
1.054123713609375E9,23.55,6.172496068757027E-5
1.054123713609375E9,23.65,5.298313044477254E-5
1.054123713609375E9,23.75,5.9581027016974986E-5
1.054123713609375E9,23.85,6.670724542345852E-5
1.054123713609375E9,23.95,7.496491161873564E-5
1.054123713609375E9,24.05,9.576015872880816E-5
1.054123713609375E9,24.15,1.152768381871283E-4
1.054123713609375E9,24.25,1.2571427214425057E-4
1.054123713609375E9,24.35,1.2028645869577304E-4
1.054123713609375E9,24.45,9.19314770726487E-5
1.054123713609375E9,24.55,7.469653792213649E-5
1.054123713609375E9,24.65,6.811140337958932E-5
1.054123713609375E9,24.75,4.5934011723147705E-5
1.054123713609375E9,24.85,5.257006341707893E-5
1.054123713609375E9,24.95,4.905829700874165E-5
1.054123713609375E9,25.05,5.038463496020995E-5
1.054123713609375E9,25.15,9.933098044712096E-5
1.054123713609375E9,25.25,8.860046364134178E-5
1.054123713609375E9,25.35,4.074327807757072E-5
1.054123713609375E9,25.45,4.685438034357503E-5
1.054123713609375E9,25.55,1.7605685570742935E-4
1.054123713609375E9,25.65,3.020727599505335E-4
1.054123713609375E9,25.75,3.1256795045919716E-4
1.054123713609375E9,25.85,1.6041880007833242E-4
1.054123713609375E9,25.95,7.284735329449177E-5
1.054123713609375E9,26.05,5.568576671066694E-5
1.054123713609375E9,26.15,4.4134154450148344E-5
1.054123713609375E9,26.25,5.051831612945534E-5
1.054123713609375E9,26.35,7.500202627852559E-5
1.054123713609375E9,26.45,1.0893290163949132E-4
1.054123713609375E9,26.55,9.620413766242564E-5
1.054123713609375E9,26.65,1.789149064279627E-5
1.054123713609375E9,26.75,1.2949199117429089E-5
1.054123713609375E9,26.85,9.844025044003502E-6
1.054123713609375E9,26.95,3.6400884710019454E-5
1.054123713609375E9,27.05,5.905793295823969E-5
1.054123713609375E9,27.15,6.508985097752884E-5
1.054123713609375E9,27.25,3.783718784688972E-5
1.054123713609375E9,27.35,1.0433938587084413E-4
1.054123713609375E9,27.45,1.134036501753144E-4
1.054123713609375E9,27.55,5.9274043451296166E-5
1.054123713609375E9,27.65,5.687423254130408E-5
1.054123713609375E9,27.75,5.937119203736074E-5
1.054123713609375E9,27.85,3.857310366583988E-5
1.054123713609375E9,27.95,2.3324539142777212E-5
1.054123713609375E9,28.05,1.9185146811651066E-5
1.054123713609375E9,28.15,1.920781323860865E-5
1.054123713609375E9,28.25,2.7319676519255154E-5
1.054123713609375E9,28.35,4.2803259566426277E-4
1.054123713609375E9,28.45,4.6239516814239323E-4
1.054123713609375E9,28.55,1.2749273446388543E-4
1.054123713609375E9,28.65,2.16974822251359E-5
1.054123713609375E9,28.75,2.454286368447356E-5
1.054123713609375E9,28.85,3.334936627652496E-5
1.054123713609375E9,28.95,3.3208823879249394E-5
1.054123713609375E9,29.05,3.293555346317589E-5
1.054123713609375E9,29.15,5.016191062168218E-5
1.054123713609375E9,29.25,4.3771327909780666E-5
1.054123713609375E9,29.35,3.0116965717752464E-5
1.054123713609375E9,29.45,1.8891762010753155E-5
1.054123713609375E9,29.55,3.7611094739986584E-5
1.054123713609375E9,29.65,3.690084849949926E-5
1.054123713609375E9,29.75,2.3021702872938477E-5
1.054123713609375E9,29.85,1.1347477084200364E-5
1.054123713609375E9,29.95,1.3521858818421606E-5
1.054123713609375E9,30.05,1.3179787856643088E-5
1.054123713609375E9,30.15,1.5634474038961343E-5
1.054123713609375E9,30.25,0.0020345989614725113
1.054123713609375E9,30.35,0.00246037938632071
1.054123713609375E9,30.45,0.0024682050570845604
1.054123713609375E9,30.55,4.48964157840237E-4
1.054123713609375E9,30.65,2.626141213113442E-5
1.054123713609375E9,30.75,2.2609510779147968E-5
1.054123713609375E9,30.85,2.2185688067111187E-5
1.054123713609375E9,30.95,1.7630549336900003E-5
1.054123713609375E9,31.05,1.7481588656664826E-5
1.054123713609375E9,31.15,3.7815589166712016E-5
1.054123713609375E9,31.25,5.4020609240978956E-5
1.054123713609375E9,31.35,6.430641951737925E-5
1.054123713609375E9,31.45,8.800873183645308E-5
1.054123713609375E9,31.55,9.85299629974179E-5
1.054123713609375E9,31.65,7.102193922037259E-5
1.054123713609375E9,31.75,4.219152106088586E-5
1.054123713609375E9,31.85,4.631529373000376E-5
1.054123713609375E9,31.95,5.695510117220692E-5
1.054123713609375E9,32.05,6.136694719316438E-5
1.054123713609375E9,32.15,3.9732709410600364E-5
1.054123713609375E9,32.25,1.623982097953558E-5
1.054123713609375E9,32.35,1.2030885045533068E-5
1.054123713609375E9,32.45,1.2902611160825472E-5
1.054123713609375E9,32.55,1.496589720773045E-5
1.054123713609375E9,32.65,1.9009212337550707E-5
1.054123713609375E9,32.75,2.5343448214698583E-5
1.054123713609375E9,32.85,2.0593741282937117E-5
1.054123713609375E9,32.95,1.5382611309178174E-5
1.054123713609375E9,33.05,1.144253747042967E-5
1.054123713609375E9,33.15,1.7173280866700225E-5
1.054123713609375E9,33.25,2.769033017102629E-5
1.054123713609375E9,33.35,7.91926504462026E-5
1.054123713609375E9,33.45,2.621120074763894E-4
1.054123713609375E9,33.55,2.975904499180615E-4
1.054123713609375E9,33.65,1.612021733308211E-4
1.054123713609375E9,33.75,2.4144595954567194E-5
1.054123713609375E9,33.85,2.782580668281298E-5
1.054123713609375E9,33.95,2.497536115697585E-5
1.054123713609375E9,34.05,3.013726745848544E-5
1.054123713609375E9,34.15,5.410063386079855E-5
1.054123713609375E9,34.25,5.202072497922927E-5
1.054123713609375E9,34.35,3.3824104320956394E-5
1.054123713609375E9,34.45,4.516951958066784E-5
1.054123713609375E9,34.55,5.346233956515789E-5
1.054123713609375E9,34.65,8.004886331036687E-5
1.054123713609375E9,34.75,8.644742774777114E-5
1.054123713609375E9,34.85,1.0155690688407049E-4
1.054123713609375E9,34.95,7.518570782849565E-5
1.054123713609375E9,35.05,5.1996641559526324E-5
1.054123713609375E9,35.15,5.553295341087505E-5
1.054123713609375E9,35.25,5.982759830658324E-5
1.054123713609375E9,35.35,6.792094063712284E-5
1.054123713609375E9,35.45,4.998258737032302E-5
1.054123713609375E9,35.55,5.0554503104649484E-5
1.054123713609375E9,35.65,4.236971653881483E-5
1.054123713609375E9,35.75,3.260032463003881E-5
1.054123713609375E9,35.85,3.843392551061697E-5
1.054123713609375E9,35.95,9.571309783495963E-5
1.054123713609375E9,36.05,2.0964123541489244E-4
1.054123713609375E9,36.15,1.7687062791083008E-4
1.054123713609375E9,36.25,3.092905171797611E-5
1.054123713609375E9,36.35,5.455038626678288E-5
1.054123713609375E9,36.45,7.879354961914942E-5
1.054123713609375E9,36.55,6.685275002382696E-5
1.054123713609375E9,36.65,7.088880374794826E-5
1.054123713609375E9,36.75,1.6481929924339056E-4
1.054123713609375E9,36.85,1.7096770170610398E-4
1.054123713609375E9,36.95,1.1716619337676093E-4
1.054123713609375E9,37.05,1.1017301403626334E-5
1.054123713609375E9,37.15,4.522642484516837E-6
1.054123713609375E9,37.25,6.7377604864304885E-6
1.054123713609375E9,37.35,1.1137801266158931E-5
1.054123713609375E9,37.45,1.117115061788354E-5
1.054123713609375E9,37.55,1.4103436114965007E-5
1.054123713609375E9,37.65,1.033166245179018E-5
1.054123713609375E9,37.75,1.0407656191091519E-5
1.054123713609375E9,37.85,6.6412567321094684E-6
1.054123713609375E9,37.95,5.9882454479520675E-6
1.054123713609375E9,38.05,6.141619905974949E-6
1.054123713609375E9,38.15,4.421371613716474E-6
1.054123713609375E9,38.25,5.133838385518175E-6
1.054123713609375E9,38.35,6.107998615334509E-6
1.054123713609375E9,38.45,6.778588158340426E-6
1.054123713609375E9,38.55,6.231688985280925E-6
1.054123713609375E9,38.65,5.32202147951466E-6
1.054123713609375E9,38.75,4.9822292567114346E-6
1.054123713609375E9,38.85,5.1406200327619445E-6
1.054123713609375E9,38.95,8.626346243545413E-6
1.054123713609375E9,39.05,7.767966053506825E-6
1.054123713609375E9,39.15,5.313166184350848E-6
1.054123713609375E9,39.25,5.08335278937011E-6
1.054123713609375E9,39.35,5.395835160015849E-6
1.054123713609375E9,39.45,4.6743525672354735E-6
1.054123713609375E9,39.55,4.327790520619601E-6
1.054123713609375E9,39.65,4.109901510673808E-6
1.054123713609375E9,39.75,3.6239862311049365E-6
1.054123713609375E9,39.85,5.558857537835138E-6
1.054123713609375E9,39.95,7.516384812333854E-6
